totalRequestTime,loadSeconds,evalTokensPerSecond,modelName,promptTokenCount,outputTokenCount,timestamp
22.58216,9.998685,60.78378,anatomy-tutor-fast,543.0,74.0,2026-06-30 10:04:15
0.5343247,0.167612,213.485,anatomy-tutor-fast,455.0,71.0,2026-06-30 10:04:16
0.6905145,0.1658258,203.6311,anatomy-tutor-fast,853.0,95.0,2026-06-30 10:04:17
0.6305256,0.1691029,209.4085,anatomy-tutor-fast,487.0,87.0,2026-06-30 10:04:18
0.6488372,0.1624333,212.2059,anatomy-tutor-fast,797.0,89.0,2026-06-30 10:04:19
0.590073,0.1638148,210.2329,anatomy-tutor-fast,512.0,81.0,2026-06-30 10:04:20
0.5547302,0.16415,199.9496,anatomy-tutor-fast,604.0,69.0,2026-06-30 10:04:21
0.6223131,0.1652252,197.9663,anatomy-tutor-fast,573.0,82.0,2026-06-30 10:04:21
0.6570861,0.1655275,215.1444,anatomy-tutor-fast,552.0,97.0,2026-06-30 10:04:22
0.5643843,0.1879016,222.4343,anatomy-tutor-fast,485.0,76.0,2026-06-30 10:04:23
0.5732161,0.1674473,219.366,anatomy-tutor-fast,515.0,81.0,2026-06-30 10:04:24
0.5320547,0.1669046,220.0153,anatomy-tutor-fast,535.0,72.0,2026-06-30 10:04:25
0.5419055,0.1698399,210.9794,anatomy-tutor-fast,572.0,70.0,2026-06-30 10:04:26
0.5589624,0.162026,216.9144,anatomy-tutor-fast,448.0,79.0,2026-06-30 10:04:26
0.6799495,0.1644848,207.3659,anatomy-tutor-fast,568.0,99.0,2026-06-30 10:04:27
0.568389,0.1602939,207.0839,anatomy-tutor-fast,637.0,75.0,2026-06-30 10:04:28
0.6989739,0.1624302,210.413,anatomy-tutor-fast,653.0,102.0,2026-06-30 10:04:29
0.6124642,0.163998,212.5622,anatomy-tutor-fast,468.0,87.0,2026-06-30 10:04:30
0.5389866,0.1617221,219.1307,anatomy-tutor-fast,646.0,72.0,2026-06-30 10:04:31
0.9925929,0.1605774,186.5643,anatomy-tutor-fast,644.0,146.0,2026-06-30 10:04:32
0.5831544,0.1659162,207.5209,anatomy-tutor-fast,484.0,77.0,2026-06-30 10:04:33
0.6812615,0.1680191,189.5267,anatomy-tutor-fast,496.0,90.0,2026-06-30 10:04:34
0.7524585,0.1607128,177.5256,anatomy-tutor-fast,520.0,98.0,2026-06-30 10:04:35
0.6874419,0.1660786,183.5031,anatomy-tutor-fast,521.0,88.0,2026-06-30 10:04:35
0.7620279,0.1627719,158.0928,anatomy-tutor-fast,603.0,88.0,2026-06-30 10:04:36
0.5327343,0.1665311,187.1449,anatomy-tutor-fast,479.0,62.0,2026-06-30 10:04:37
0.5910204,0.1622366,185.9963,anatomy-tutor-fast,494.0,73.0,2026-06-30 10:04:38
0.7991597,0.1651729,153.1584,anatomy-tutor-fast,494.0,91.0,2026-06-30 10:04:39
0.6925593,0.1667973,154.03,anatomy-tutor-fast,540.0,75.0,2026-06-30 10:04:40
0.732747,0.1701505,182.2133,anatomy-tutor-fast,584.0,95.0,2026-06-30 10:04:41
0.6592434,0.1639998,176.9113,anatomy-tutor-fast,513.0,80.0,2026-06-30 10:04:42
0.6647563,0.1653575,183.0129,anatomy-tutor-fast,563.0,83.0,2026-06-30 10:04:43
0.6879537,0.1662107,171.3711,anatomy-tutor-fast,489.0,83.0,2026-06-30 10:04:44
0.5325065,0.1733374,191.8386,anatomy-tutor-fast,478.0,63.0,2026-06-30 10:04:44
0.739396,0.1662023,179.5336,anatomy-tutor-fast,358.0,98.0,2026-06-30 10:04:45
0.6927848,0.1691543,158.1121,anatomy-tutor-fast,598.0,78.0,2026-06-30 10:04:46
0.7030555,0.1663895,155.9726,anatomy-tutor-fast,703.0,76.0,2026-06-30 10:04:47
0.7303361,0.1652131,177.6893,anatomy-tutor-fast,730.0,90.0,2026-06-30 10:04:48
0.715892,0.1673733,179.9735,anatomy-tutor-fast,469.0,91.0,2026-06-30 10:04:49
0.5629766,0.167696,191.3449,anatomy-tutor-fast,621.0,67.0,2026-06-30 10:04:50
0.5529564,0.1673817,202.2924,anatomy-tutor-fast,620.0,68.0,2026-06-30 10:04:51
0.7304857,0.1645848,205.9815,anatomy-tutor-fast,558.0,107.0,2026-06-30 10:04:52
0.7046838,0.163772,197.9733,anatomy-tutor-fast,718.0,96.0,2026-06-30 10:04:52
