prompt,gold,anatomy-tutor__totalRequestTime,anatomy-tutor__loadSeconds,anatomy-tutor__correct,anatomy-tutor-fast__totalRequestTime,anatomy-tutor-fast__loadSeconds,anatomy-tutor-fast__correct,llama3.2__totalRequestTime,llama3.2__loadSeconds,llama3.2__correct,llama3.2:1b__totalRequestTime,llama3.2:1b__loadSeconds,llama3.2:1b__correct,medllama2__totalRequestTime,medllama2__loadSeconds,medllama2__correct,ncatmedllama__totalRequestTime,ncatmedllama__loadSeconds,ncatmedllama__correct,qwen2.5:3b__totalRequestTime,qwen2.5:3b__loadSeconds,qwen2.5:3b__correct
10158597 | Does a dedicated discharge coordinator improve the quality of hospital discharge,yes,17.21071,0.0269236,0,5.325922,0.1464301,1,6.858772,0.1393919,1,1.459431,0.1400719,0,14.90933,0.0249281,0,15.92493,0.0304411,0,7.665321,0.1251786,0
10331115 | Is amoxapine an atypical antipsychotic?,yes,22.90517,0.0248353,0,5.339344,0.1465489,1,6.925849,0.1452849,1,1.08461,0.140239,0,22.13724,0.0248098,0,26.85773,0.0243268,0,4.787702,0.1116075,0
10401824 | Is laparoscopic reoperation for failed antireflux surgery feasible?,yes,23.45855,0.0251086,1,6.090291,0.1440186,1,7.674992,0.1417636,1,2.102922,0.1438235,1,14.79335,0.02598,1,41.6023,0.023692,1,6.680788,0.1166499,1
10922093 | Does open access endoscopy close the door to an adequately informed patient?,yes,17.76369,0.025285,0,5.394008,0.1480171,1,6.408708,0.1504704,1,1.302375,0.1448404,0,12.15921,0.026858,0,19.81458,0.0258752,0,5.798731,0.1166622,0
11035130 | Do patients with rheumatoid arthritis established on methotrexate and folic acid,yes,19.59364,0.0258307,0,4.754159,0.1534338,1,6.919708,0.1478221,0,1.472533,0.1289326,0,18.15019,0.0242651,0,20.77571,0.0259489,0,5.674396,0.1233248,0
11079675 | Pulmonary valve replacement in adults late after repair of tetralogy of fallot: ,yes,14.85937,0.02652,0,6.126944,0.1425431,1,6.511363,0.1483112,1,1.538378,0.1525162,0,14.56278,0.0259194,0,20.70508,0.0229258,0,6.43272,0.119548,0
11146778 | Risk stratification in emergency surgical patients: is the APACHE II score a rel,yes,14.14883,0.0269051,0,7.435931,0.1589343,1,6.18057,0.1502696,0,1.451339,0.1344722,0,18.52837,0.0253073,0,16.60147,0.0259226,0,5.99885,0.1203563,0
11833948 | Does a delay in transfer to a rehabilitation unit for older people affect outcom,yes,13.22709,0.0279493,1,5.743681,0.152111,1,6.349346,0.1440569,1,1.0881,0.1460789,0,21.85188,0.0232322,0,12.58099,0.0269401,1,5.68938,0.1265102,0
11943048 | Does receipt of hospice care in nursing homes improve the management of pain at ,yes,19.77934,0.0269778,1,6.717773,0.1466497,1,6.998052,0.1450193,1,2.090982,0.1422914,0,15.51848,0.0244602,1,16.32947,0.027352,0,6.483118,0.1119237,0
11977907 | Subclavian steal syndrome: can the blood pressure difference between arms predic,yes,35.71862,0.0268966,0,5.717508,0.1490676,1,6.947492,0.1439757,1,1.503172,0.1474068,0,16.5624,0.0269353,0,25.37284,0.0242759,0,6.908787,0.1236106,0
12094116 | Is muscle power related to running speed with changes of direction?,yes,15.61911,0.0253743,0,5.234118,0.1442634,1,7.672695,0.1513159,0,1.102981,0.1525917,0,14.7424,0.0273496,1,16.20053,0.0272732,0,5.777585,0.1185387,0
12121321 | Do mossy fibers release GABA?,yes,20.97977,0.0285163,0,5.178952,0.1452382,1,6.172724,0.1457673,1,1.290556,0.1514889,1,10.60933,0.0280307,1,19.21824,0.0247481,0,6.233624,0.1226389,1
12377809 | Is anorectal endosonography valuable in dyschesia?,yes,32.52723,14.84559,1,5.105176,0.168726,1,17.37234,10.05275,1,10.49231,9.199266,0,20.58038,11.21912,0,33.39462,13.85394,0,16.39576,9.66105,1
12765819 | Spinal subdural hematoma: a sequela of a ruptured intracranial aneurysm?,yes,14.78126,0.0280227,0,4.900111,0.1420336,1,6.913261,0.1480376,0,1.253406,0.1392718,0,13.08839,0.0222123,0,18.47225,0.0247463,0,5.819428,0.1171061,1
12846929 | Quality of life in lung cancer patients: does socioeconomic status matter?,yes,16.06613,0.0248321,0,5.171741,0.1456518,1,6.751081,0.1433617,1,1.277813,0.1491506,0,16.6341,0.0232937,0,17.74978,0.0265338,0,5.857009,0.1150306,0
12913878 | Locoregional opening of the rodent blood-brain barrier for paclitaxel using Nd:Y,yes,14.665,0.0243057,0,5.53051,0.1505259,1,8.873236,0.1445881,1,1.084326,0.143041,0,13.57254,0.0274728,0,16.17203,0.0222848,0,5.494632,0.1162421,1
15041506 | Is fear of anaphylactic shock discouraging surgeons from more widely adopting pe,yes,24.29297,0.0264651,1,5.577625,0.1521545,1,5.521321,0.1396812,1,0.8994564,0.1423609,0,9.707368,0.0248086,0,11.94886,0.0275552,0,4.671163,0.1205645,0
15151701 | Profiling quality of care: Is there a role for peer review?,yes,28.25622,0.028042,0,4.662533,0.152299,1,7.205428,0.140314,1,1.496414,0.1487877,0,22.06652,0.0243405,0,23.96363,0.0263583,0,5.727094,0.1187075,0
15208005 | The Omega-3 Index: a new risk factor for death from coronary heart disease?,yes,19.36456,0.0243544,1,6.402957,0.1494167,1,7.896991,0.1453016,1,1.294327,0.1465087,0,14.48745,0.0242393,0,21.22013,0.0249379,0,3.705841,0.1209601,1
15489384 | Does reducing spasticity translate into functional benefit?,yes,23.09562,0.0228469,0,5.706881,0.1472962,1,7.08329,0.1392688,1,1.485517,0.1412579,0,10.9107,0.0249353,0,17.38133,0.0259158,1,6.309491,0.1153669,1
