pmid,gold,raw_prediction,parsed_prediction,correct,ollama_model,model,total_seconds,timestamp,accuracy_percent
12377809,yes,"yes
The study found that dyschesia can lead to abnormal muscle contractions in the anal sphincter and musculus puborectalis during voluntary movements, which may contribute to symptoms of dyschesia.",yes,1,AnatomyTutorFast,anatomy-tutor-fast,2.82886,2026-06-26 17:29:34,100.0
26163474,yes,"yes
The study found an association between the presence of sublingual varices and hypertension, suggesting that there may be a link between these two conditions. 
The researchers also measured blood pressure in patients with severe sublingual varices to understand its impact on blood pressure levels.
The results indicate that having sublingual varices can increase the risk of developing high blood pressure, particularly systolic blood pressure.",yes,1,AnatomyTutorFast,anatomy-tutor-fast,3.668463,2026-06-26 17:29:38,100.0
19100463,yes,"yes
The affinity column-mediated immunoassay method was found to have a high correlation with the microparticle enzyme immunoassay method, but also showed some variability and differences that may not be significant for therapeutic drug monitoring purposes. The Bland-Altman plot did not show any specific trends in the concentration differences between the two methods.",yes,1,AnatomyTutorFast,anatomy-tutor-fast,3.077896,2026-06-26 17:29:41,100.0
18537964,yes,"yes
The abstract discusses a study examining how physicians from different medical specialties record patient medication histories in their case notes. 
In this study, researchers found that physician specialty can influence both the depth and frequency of documentation of medication information.
Physicians' specialties were categorized as Cardiology, Chest, Dermatology, Endocrine, Gastroenterology, Haematology, Neurology, Psychiatry, and Renal, with each specialty having its own unique characteristics. 
The study suggests that physicians from certain specialties may have a higher likelihood of recording more detailed information about medication histories in their case notes.",yes,1,AnatomyTutorFast,anatomy-tutor-fast,4.989412,2026-06-26 17:29:47,100.0
12913878,yes,"yes
Maybe
maybe",yes,1,AnatomyTutorFast,anatomy-tutor-fast,0.5024625,2026-06-26 17:29:47,100.0
12765819,yes,"yes
The femur is a long bone in the lower extremities that plays a crucial role in supporting the body's weight and facilitating movement. Its unique shape allows for flexibility and stability during various activities.",yes,1,AnatomyTutorFast,anatomy-tutor-fast,1.90465,2026-06-26 17:29:49,100.0
25475395,yes,"yes
The study found a correlation between testosterone levels and sexual desire in healthy women, particularly when considering the total score of the Female Sexual Function Index. The higher levels of TT and androstenedione were associated with increased sexual desire. However, the relationship was weaker when analyzing ADT-G levels.",yes,1,AnatomyTutorFast,anatomy-tutor-fast,2.676512,2026-06-26 17:29:52,100.0
19130332,yes,"yes
maybe",yes,1,AnatomyTutorFast,anatomy-tutor-fast,1.390224,2026-06-26 17:29:54,100.0
9427037,yes,"yes
Maybe",yes,1,AnatomyTutorFast,anatomy-tutor-fast,0.39141,2026-06-26 17:29:54,100.0
24481006,yes,"yes
no
maybe",yes,1,AnatomyTutorFast,anatomy-tutor-fast,0.4689179,2026-06-26 17:29:55,100.0
