prompt,gold,anatomy-tutor__totalRequestTime,anatomy-tutor__loadSeconds,anatomy-tutor__correct,anatomy-tutor-fast__totalRequestTime,anatomy-tutor-fast__loadSeconds,anatomy-tutor-fast__correct,ncatmedllama__totalRequestTime,ncatmedllama__loadSeconds,ncatmedllama__correct,meditron__totalRequestTime,meditron__loadSeconds,meditron__correct
10158597 | Does a dedicated discharge coordinator improve the quality of hospital discharge,yes,10.83544,0.0283923,0,2.754831,0.155116,1,14.31503,0.028035,0,,,
10331115 | Is amoxapine an atypical antipsychotic?,yes,16.57694,0.0258962,0,1.141869,0.1520581,1,25.11982,0.026035,0,,,
10401824 | Is laparoscopic reoperation for failed antireflux surgery feasible?,yes,45.92854,0.0297183,0,4.557372,0.1413899,1,12.29072,0.0259072,1,,,
10922093 | Does open access endoscopy close the door to an adequately informed patient?,yes,12.53729,0.0285711,0,2.828344,0.1606263,1,20.40476,0.0281043,0,,,
11035130 | Do patients with rheumatoid arthritis established on methotrexate and folic acid,yes,16.17829,0.0291162,0,2.946406,0.1579244,1,14.39312,0.0284911,0,23.93638,0.0254187,1.0
11079675 | Pulmonary valve replacement in adults late after repair of tetralogy of fallot: ,yes,13.37231,0.0294871,1,3.139006,0.1601537,1,20.0456,0.0322017,0,,,
11146778 | Risk stratification in emergency surgical patients: is the APACHE II score a rel,yes,12.29762,0.0290829,0,5.06338,0.1514339,1,11.36696,0.0273146,0,71.07431,0.0269659,0.0
11833948 | Does a delay in transfer to a rehabilitation unit for older people affect outcom,yes,10.59902,0.0248497,0,3.000758,0.1580448,1,16.69805,0.0253663,0,52.43649,0.0249963,0.0
11943048 | Does receipt of hospice care in nursing homes improve the management of pain at ,yes,24.6247,0.0247161,0,4.714427,0.1571889,1,13.8097,0.0255257,0,,,
11977907 | Subclavian steal syndrome: can the blood pressure difference between arms predic,yes,29.56728,0.0259748,0,4.397859,0.1645776,1,21.43735,0.0280555,0,,,
12094116 | Is muscle power related to running speed with changes of direction?,yes,9.005352,0.0238415,0,1.311431,0.1517745,1,10.46145,0.0275218,0,,,
12121321 | Do mossy fibers release GABA?,yes,8.028638,0.0246451,1,4.067937,0.1422935,1,6.321261,0.032102,1,,,
12377809 | Is anorectal endosonography valuable in dyschesia?,yes,23.67318,5.781812,1,2.82886,0.1678726,1,18.74431,0.029562,1,64.06183,11.60985,0.0
12765819 | Spinal subdural hematoma: a sequela of a ruptured intracranial aneurysm?,yes,17.76827,0.0286382,0,1.90465,0.1467889,1,9.690734,0.0243103,0,36.09173,0.0286882,1.0
12846929 | Quality of life in lung cancer patients: does socioeconomic status matter?,yes,12.55122,0.0262876,0,2.556686,0.153929,1,8.844454,0.0320742,0,,,
12913878 | Locoregional opening of the rodent blood-brain barrier for paclitaxel using Nd:Y,yes,16.29114,0.0263748,0,0.5024625,0.1614243,1,13.09923,0.0247784,1,52.35637,0.0258244,0.0
15041506 | Is fear of anaphylactic shock discouraging surgeons from more widely adopting pe,yes,14.17511,0.0274775,0,1.042708,0.1570938,1,4.976208,0.0299647,0,13.09833,0.0289985,0.0
15151701 | Profiling quality of care: Is there a role for peer review?,yes,20.12873,0.0258383,0,2.703424,0.1461422,1,20.97604,0.0226921,0,,,
15208005 | The Omega-3 Index: a new risk factor for death from coronary heart disease?,yes,13.34294,0.030482,0,3.927086,0.143535,1,15.85266,0.026956,0,,,
15489384 | Does reducing spasticity translate into functional benefit?,yes,9.922133,0.0234579,0,2.332831,0.1545039,1,19.86008,0.0253737,0,,,
15528969 | Is expert breast pathology assessment necessary for the management of ductal car,yes,10.71469,0.0237762,0,1.491574,0.1517979,1,13.27562,0.0282596,0,,,
