pmid,gold,raw_prediction,parsed_prediction,correct,model,total_seconds,timestamp
12377809,yes,No,no,0,llama3.2:1b,8.648669,2026-06-26 16:58:31
26163474,yes,no,no,0,llama3.2:1b,2.13752,2026-06-26 16:58:34
19100463,yes,maybe,maybe,0,llama3.2:1b,1.963419,2026-06-26 16:58:36
18537964,yes,maybe,maybe,0,llama3.2:1b,1.903318,2026-06-26 16:58:38
12913878,yes,no,no,0,llama3.2:1b,1.582689,2026-06-26 16:58:40
12765819,yes,maybe,maybe,0,llama3.2:1b,1.843907,2026-06-26 16:58:42
25475395,yes,no,no,0,llama3.2:1b,2.469106,2026-06-26 16:58:45
19130332,yes,maybe,maybe,0,llama3.2:1b,1.576654,2026-06-26 16:58:46
9427037,yes,No.,no,0,llama3.2:1b,1.563099,2026-06-26 16:58:48
24481006,yes,yes,yes,1,llama3.2:1b,1.406723,2026-06-26 16:58:50
8165771,yes,maybe,maybe,0,llama3.2:1b,1.304684,2026-06-26 16:58:51
22680064,yes,no,no,0,llama3.2:1b,1.327213,2026-06-26 16:58:53
22540518,yes,yes,yes,1,llama3.2:1b,1.619086,2026-06-26 16:58:55
20629769,yes,no,no,0,llama3.2:1b,1.902415,2026-06-26 16:58:57
21726930,yes,maybe,maybe,0,llama3.2:1b,2.300973,2026-06-26 16:59:00
21481154,yes,no,no,0,llama3.2:1b,1.49089,2026-06-26 16:59:01
22902073,yes,maybe,maybe,0,llama3.2:1b,1.281316,2026-06-26 16:59:03
26370095,yes,no,no,0,llama3.2:1b,1.894492,2026-06-26 16:59:05
18041059,yes,maybe,maybe,0,llama3.2:1b,1.927302,2026-06-26 16:59:07
15041506,yes,no,no,0,llama3.2:1b,1.02036,2026-06-26 16:59:08
11146778,yes,maybe,maybe,0,llama3.2:1b,1.686858,2026-06-26 16:59:10
27281318,yes,no,no,0,llama3.2:1b,2.127049,2026-06-26 16:59:13
21645374,yes,no,no,0,llama3.2:1b,1.932237,2026-06-26 16:59:15
9465206,yes,maybe,maybe,0,llama3.2:1b,2.35549,2026-06-26 16:59:18
25887165,yes,no,no,0,llama3.2:1b,1.819584,2026-06-26 16:59:20
15995461,yes,no,no,0,llama3.2:1b,1.03691,2026-06-26 16:59:21
21850494,yes,no,no,0,llama3.2:1b,1.834768,2026-06-26 16:59:23
19106867,yes,no,no,0,llama3.2:1b,0.9937066,2026-06-26 16:59:24
21342862,yes,maybe,maybe,0,llama3.2:1b,1.420187,2026-06-26 16:59:26
24352924,yes,no,no,0,llama3.2:1b,1.481589,2026-06-26 16:59:28
16147837,yes,maybe,maybe,0,llama3.2:1b,1.677505,2026-06-26 16:59:29
26879871,yes,no,no,0,llama3.2:1b,1.698006,2026-06-26 16:59:31
15918864,yes,maybe,maybe,0,llama3.2:1b,1.683957,2026-06-26 16:59:33
22075911,yes,no,no,0,llama3.2:1b,1.449157,2026-06-26 16:59:35
11035130,yes,Maybe,maybe,0,llama3.2:1b,1.777643,2026-06-26 16:59:37
21228436,yes,no,no,0,llama3.2:1b,1.313305,2026-06-26 16:59:39
11833948,yes,no,no,0,llama3.2:1b,1.285144,2026-06-26 16:59:40
17682349,yes,yes,yes,1,llama3.2:1b,1.469985,2026-06-26 16:59:42
17355582,yes,no,no,0,llama3.2:1b,1.475092,2026-06-26 16:59:44
15597845,yes,maybe,maybe,0,llama3.2:1b,1.52514,2026-06-26 16:59:45
10158597,yes,No,no,0,llama3.2:1b,1.739886,2026-06-26 16:59:47
27549226,yes,yes,yes,1,llama3.2:1b,2.197072,2026-06-26 16:59:50
26348845,yes,no,no,0,llama3.2:1b,1.740448,2026-06-26 16:59:52
25588461,yes,maybe,maybe,0,llama3.2:1b,1.487274,2026-06-26 16:59:53
23359100,yes,no,no,0,llama3.2:1b,1.749387,2026-06-26 16:59:55
